=================================================================
  HSW-SF Pretest Training Loop
  Device : mps
  Nodes  : 20  |  Episodes : 30  |  Steps/ep : 100
=================================================================
[Data] Loading EuroSAT dataset (this may take a moment if downloading...)
  Ep   4 | Step   10 | G-Step    310 |  R=-0.867  V_top=0.7478  η=0.537  L_cut=12  FALLBACK  T_loss=0.000  S_loss=1.875  CritL=nan  ActL=nan
  Ep   4 | Step   20 | G-Step    320 |  R=-1.254  V_top=0.8610  η=0.670  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.670  CritL=nan  ActL=nan
  Ep   4 | Step   30 | G-Step    330 |  R=-0.838  V_top=1.0856  η=0.527  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=2.099  CritL=nan  ActL=nan
  Ep   4 | Step   40 | G-Step    340 |  R=-0.694  V_top=1.1401  η=0.546  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.856  CritL=nan  ActL=nan
  Ep   4 | Step   50 | G-Step    350 |  R=-0.968  V_top=1.1703  η=0.658  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.688  CritL=nan  ActL=nan
  Ep   4 | Step   60 | G-Step    360 |  R=+0.000  V_top=1.1832  η=0.573  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.238  CritL=nan  ActL=nan
  Ep   4 | Step   70 | G-Step    370 |  R=-0.559  V_top=1.2377  η=0.617  L_cut=11  FALLBACK  T_loss=0.000  S_loss=1.374  CritL=nan  ActL=nan
  Ep   4 | Step   80 | G-Step    380 |  R=+0.000  V_top=1.2797  η=0.539  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.670  CritL=nan  ActL=nan
  Ep   4 | Step   90 | G-Step    390 |  R=-1.249  V_top=1.2793  η=0.573  L_cut=11  FALLBACK  T_loss=0.000  S_loss=1.591  CritL=nan  ActL=nan

>>> Episode   4 done  |  Return=-277310.14  Avg10=-251317.58  Time=1.4s  Buffer=5450  Alive_nodes=14/20

