Episode,Return,Avg_V_top,Max_Eta,T_Loss,S_Loss,Avg_Battery,Avg_Queue
1,-346625.85576108214,1.240485404564244,69315.2646285531,0.12362134099006652,2.082510380744934,96.9935059593293,0.1
2,-104024.10862586336,1.364296231895612,69315.2646285531,0.09288769960403442,1.8786549198627471,95.59221765012033,0.1
3,-277310.22895297175,1.1892212346556417,69315.2646285531,0.13229886531829835,1.7611041349172591,98.26935578340638,0.0
4,-277310.13600464736,1.2791699267934962,69315.2646285531,0.08168994188308716,1.6144673043489457,96.32236204601,0.1
5,-207994.718116544,1.2169454554477523,69315.2646285531,0.1166976523399353,1.5549452608823777,96.90879987744619,0.0
6,-311964.4988130567,1.383603606586782,69315.2646285531,0.08594349861145019,1.4992063850164414,98.20706338919699,0.05
7,-173335.1805664138,1.308793023929898,69315.2646285531,0.1208963680267334,1.4591249012947083,97.98838065098971,0.0
8,-311957.81634970446,1.4279252532247868,69315.2646285531,0.0724177098274231,1.3746716845035554,99.6425459453836,0.0
9,-346611.24401694804,1.3799822877925787,69315.2646285531,0.05956617832183838,1.3276248127222061,99.80902143011335,0.0
10,-138663.9600506742,1.4667965309256161,69315.2646285531,0.05773124814033508,1.281652008295059,99.88443228182732,0.0
11,-173319.41683555438,1.4667965309256161,69315.2646285531,0.05642279028892517,1.3234144896268845,99.95822208677419,0.0
12,-242632.49487347703,1.4667965309256161,69315.2646285531,0.05505228161811829,1.234580561220646,99.96058904723031,0.0
13,-242631.84028038426,1.4667965309256161,69315.2646285531,0.08345320224761962,1.3106084895133971,99.97445122098434,0.0
14,-173317.21315686253,1.4667965309256161,69315.2646285531,0.05547802567481994,1.2358438661694526,99.98778574845346,0.0
15,-242632.4706264402,1.4667965309256161,69315.2646285531,0.06493395566940308,1.2132096123695373,99.98740809646915,0.05
16,-242632.7923388678,1.4667965309256161,69315.2646285531,0.06361528754234314,1.2587041714787484,99.98810391396546,0.0
17,-242630.57397298087,1.4667965309256161,69315.2646285531,0.059238150119781494,1.1463651323318482,99.99035393079684,0.0
18,-207973.61073985,1.4667965309256161,69315.2646285531,0.07061526536941529,1.126294886469841,99.99236558212723,0.0
19,-277289.4001751926,1.4667965309256161,69315.2646285531,0.06991240620613098,1.0854669591784478,99.99416694767788,0.0
20,-207974.560776224,1.4667965309256161,69315.2646285531,0.06201975107192993,1.1598292258381844,99.99491066304763,0.0
21,-242631.21640925563,1.4667965309256161,69315.2646285531,0.06308097124099732,1.0738674309849738,99.99377872804908,0.0
22,-242629.68043979848,1.4667965309256161,69315.2646285531,0.05243120789527893,1.0678945025801658,99.99528896510746,0.0
23,-242629.8756424553,1.4667965309256161,69315.2646285531,0.06586542844772339,1.1729756596684455,99.99549633661954,0.0
24,-207972.77782595227,1.4667965309256161,69315.2646285531,0.04717664837837219,1.063049728423357,99.99417687858804,0.0
25,-242630.41558138124,1.4667965309256161,69315.2646285531,0.06073309659957886,1.1325341191887857,99.99562422217642,0.0
26,-277288.1465167147,1.4667965309256161,69315.2646285531,0.06275771021842956,0.9720773831009865,99.99620432975571,0.05
27,-207973.3985049696,1.4667965309256161,69315.2646285531,0.07216463565826416,1.0068972158432006,99.99743582556985,0.05
28,-207973.47193759098,1.4667965309256161,69315.2646285531,0.057274962663650515,0.9954136572778225,99.9951625131711,0.0
29,-242629.61322573092,1.4667965309256161,69315.2646285531,0.06661108970642089,1.0375940854847432,99.99673937798798,0.0
30,-242629.91310422128,1.4667965309256161,69315.2646285531,0.0784648060798645,0.9824457255005836,99.99675906913907,0.0
